Year	Seq	Baseline	corre_cnrmcclm	corre_cnrmrca	corre_ecearthcclm	corre_ecearthhirham	corre_ecearthracmo	corre_ecearthrca	corre_hadgemrca	corre_ipslrca	corre_mpicclm	corre_mpirca
2071	1	0.141714285714286	0.588857142857143	0.007	0	0.547571428571429	15.7252857142857	0.00371428571428571	0.00957142857142857	3.55142857142857	2.52585714285714	7.34
2071	2	0.168285714285714	0.554142857142857	0.00842857142857143	0	1.07085714285714	18.5484285714286	0.00328571428571429	0.0101428571428571	3.27842857142857	2.67014285714286	7.83714285714286
2071	3	0.233714285714286	0.453428571428571	0.0124285714285714	0	1.64757142857143	20.5804285714286	0.00328571428571429	0.0107142857142857	3.25114285714286	2.58071428571429	7.89128571428571
2071	4	0.336428571428571	0.375285714285714	0.0178571428571429	0	2.15885714285714	22.07	0.00342857142857143	0.0104285714285714	3.37771428571429	2.35842857142857	7.40585714285714
2071	5	0.416428571428571	0.317714285714286	0.022	0	2.60628571428571	23.0295714285714	0.00357142857142857	0.00942857142857143	3.45957142857143	2.11314285714286	6.23628571428571
2071	6	0.475142857142857	0.278428571428571	0.0257142857142857	0	2.911	20.8288571428571	0.00385714285714286	0.00842857142857143	3.55885714285714	1.88957142857143	4.93928571428571
2071	7	0.526142857142857	0.251714285714286	0.0317142857142857	0	3.09957142857143	14.5897142857143	0.004	0.00742857142857143	3.65042857142857	1.68557142857143	4.15742857142857
2071	8	0.580714285714286	0.226428571428571	0.0395714285714286	0	3.11142857142857	10.0385714285714	0.00414285714285714	0.00671428571428571	3.73471428571429	1.50942857142857	3.80357142857143
2071	9	0.733714285714286	0.203	0.046	0	2.85028571428571	7.77971428571429	0.00428571428571429	0.006	3.913	1.32771428571429	3.708
2071	10	1.01371428571429	0.181714285714286	0.0487142857142857	0	3.367	6.24471428571429	0.00414285714285714	0.00528571428571429	3.95585714285714	1.14157142857143	3.62328571428571
2071	11	1.55271428571429	0.162428571428571	0.0487142857142857	0	5.54328571428571	5.17971428571429	0.00385714285714286	0.005	3.78357142857143	0.983142857142857	3.51428571428571
2071	12	2.687	0.144857142857143	0.0492857142857143	0	10.9118571428571	4.28028571428571	0.00342857142857143	0.00771428571428571	3.59142857142857	0.852428571428571	3.39085714285714
2071	13	4.23714285714286	0.129	0.0502857142857143	0	16.9594285714286	3.59128571428571	0.003	0.0128571428571429	3.38371428571429	0.754714285714286	3.28428571428571
2071	14	6.153	0.114714285714286	0.0484285714285714	0	20.2915714285714	3.154	0.00271428571428571	0.0188571428571429	3.19485714285714	0.686	3.21171428571429
